GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
online-library,com.library.metrics,PrometheusMetricsServlet,27,0,0,0,8,0,3,0,3,0
online-library,com.library.model,Book,6,109,0,2,2,46,2,31,2,30
online-library,com.library.model,User,0,82,0,0,0,33,0,19,0,19
online-library,com.library.model,Borrowing,3,104,0,2,1,43,1,28,1,27
online-library,com.library.dao,BookDAO,375,302,34,14,102,73,28,11,8,7
online-library,com.library.dao,UserDAO,397,7,40,0,102,2,29,2,9,2
online-library,com.library.dao,BorrowingDAO,495,7,46,0,124,2,33,2,10,2
online-library,com.library.servlet.admin,AdminBookServlet,12,214,3,11,4,53,4,14,1,10
online-library,com.library.servlet.admin,AdminBorrowingServlet,28,0,0,0,8,0,3,0,3,0
online-library,com.library.servlet.admin,AdminDashboardServlet,75,0,0,0,18,0,3,0,3,0
online-library,com.library.servlet.admin,AdminUserServlet,60,0,4,0,17,0,7,0,5,0
online-library,com.library.util,PasswordUtil,3,8,0,0,1,2,1,2,1,2
online-library,com.library.util,DatabaseConnection,30,24,6,2,8,13,5,4,1,4
online-library,com.library.filter,AuthFilter,65,0,6,0,19,0,8,0,5,0
online-library,com.library.filter,AdminFilter,71,0,8,0,23,0,9,0,5,0
online-library,com.library.servlet,BookDetailServlet,84,0,10,0,26,0,8,0,3,0
online-library,com.library.servlet,MyBorrowingsServlet,39,0,0,0,10,0,3,0,3,0
online-library,com.library.servlet,LogoutServlet,15,0,2,0,6,0,3,0,2,0
online-library,com.library.servlet,ReturnServlet,112,0,20,0,33,0,13,0,3,0
online-library,com.library.servlet,BookServlet,72,0,8,0,17,0,7,0,3,0
online-library,com.library.servlet,LoginServlet,74,0,14,0,22,0,11,0,4,0
online-library,com.library.servlet,RegisterServlet,128,0,26,0,38,0,17,0,4,0
online-library,com.library.servlet,BorrowServlet,163,0,24,0,44,0,18,0,6,0
